हफ्ता Weak
साल Year
आज Today
कल Tomorrow
विदाई Farwell
सुबह Morning
मोक्ष Enlightment
आशा Hope
कुर्सी Chair
पेड़ Tree
चाय Tea
सितारा Star
बारिश Rain
फ़ासला Distance
परिचय Introduction
बादल Cloud
चिट्ठी Letter
अंगूठा Thumb
बिस्तर Bed
दीवार Wall
फूल Flower
ख़बर News
समुद्र Sea
बिल्ली Cat
आसमान Sky
क़ानून Law
सिंघ Lion
खज़ाना Treasure
खेल Game
चाँद Moon
रंग Color
चश्मा Glasses
गधा Donkey
ग़ायल Wounded
दोस्त Friend
बहन Sister
चित्र Picture
दौड़ Run
चुग़ली Gossip
गर्मी Heat
पेड़ Tree
अंगूठी Ring
अध्यापक Teacher
सिक्का Coin
आधार Foundation
सफ़ाई Cleanliness
पार्क Park
साथी Companion
रक्त Blood
चेहरा Face
पेट Stomach
चाल Move
आईना Mirror
बाज़ार Market
समाचार Information
रोशनी Light
कबूतर Pigeon
कविता Poem
शिकायत Complaint
नीला Blue
गरीब Poor
ख़तरा Danger
सितारा Actor
दिशा Direction
परिस्थिति Situation
जीवन Life
नीला Blue
नदी River
आत्मा Soul
बैंगन Eggplant
दुनिया World
स्वप्न Dream
अच्छी Good (feminine)
देवता God
ध्यान Attention
बीमार Sick
सौंदर्य Beauty
गुण Quality
राजा King
बंदर Monkey
चुप Silent
दिन Day
नाच Dance
भाषा Language
भ्रमण Travel
बच्चा Child
बेहतर Better
सुनहरा Golden
कठिनाई Difficulty
रात Night
मकड़ी Spider
मोह Attraction
शर्म Shame
शरण Shelter
साँप Snake
अपना Own
दूरी Distance
विशेष Special
ध्यान Meditation
धूप Sunlight
धरती Earth
नक्शा Map
नर्म Soft
नवीन New
पक्षी Bird
प्रेम Love
बैंक Bank
बैंड Band
बैठक Meeting
बेबसी Helplessness
मंदिर Temple
मंदिर Mosque
मंदिर Church
तितली Butterfly
तस्वीर Photo
तारा Wire
सूर्य Sun
सूचना Information
सच Truth
समस्या Problem
सिनेमा Cinema
सेब Apple
अपनी Own (feminine)
अपने Own (plural)
अभिमान Pride
अभ्यास Practice
आधार Basis
आराम Rest
आरामदायक Comfortable
आर्थिक Economic
इतिहास History
उत्सव Festival
उदार Generous
ऊँचाई Height
ऊर्जा Energy
एकल Single
एकल Alone
एकल Only
एकल Sole
एकल Loner
कठिन Difficult
कन्या Virgin
कल्पना Imagination
कल्पना Fantasy
कसक Cramp
क़सम Oath
क़ानूनी Legal
क़ीमत Price
क़ीमत Value
कर्म Action
कर्म Deed
क़र्ज़ Debt
क़र्ज़ Loan
क़र्ज़दार Debtor
क़र्ज़दार Borrower
क़स्तूरी Musk
क़ानूनी Juridical
